Rolling,Lower Bound,Upper Bound,Shift,p-value
15,3,40,5,0.7401179781897602
15,3,40,10,0.525917750677243
15,3,40,15,0.49218632844562304
15,3,40,20,0.5133315656275753
15,3,40,25,0.5714282934801067
15,3,40,30,0.9900315226711078
15,3,40,35,0.7328290300836564
15,3,40,40,0.6375437978140888
15,3,40,45,0.8657437430939395
15,3,40,50,0.8908529603495919
15,3,44,0,0.8711622937022395
15,3,44,5,0.7401145566030142
15,3,44,10,0.525917318649481
15,3,44,15,0.4921860649773634
15,3,44,20,0.5133316450998557
15,3,44,25,0.5714311948699248
15,3,44,30,0.9900320789832916
15,3,44,35,0.7328532459672685
15,3,44,40,0.6367759365462349
15,3,44,45,0.8656506073851417
15,3,44,50,0.8908544189403576
15,3,48,0,0.8711625168558291
15,3,48,5,0.7401126386980377
15,3,48,10,0.5259170765215825
15,3,48,15,0.49218591731597416
15,3,48,20,0.5133316896896506
15,3,48,25,0.5714328562022988
15,3,48,30,0.9900324037696691
15,3,48,35,0.7328676469912168
15,3,48,40,0.6363298470685821
15,3,48,45,0.8655528168781286
15,3,48,50,0.8908552957483092
15,3,52,0,0.871162743049392
15,3,52,5,0.7401106949138432
15,3,52,10,0.5259168311540166
15,3,52,15,0.49218576767751554
15,3,52,20,0.5133317349126774
15,3,52,25,0.5714345460115227
15,3,52,30,0.9900327350769892
15,3,52,35,0.732882378399886
15,3,52,40,0.6358814257462534
15,3,52,45,0.8654822823606998
15,3,52,50,0.8908561942387221
15,3,300,0,0.8711630934382624
15,3,300,5,0.7401076843600378
15,3,300,10,0.5259164511810621
15,3,300,15,0.49218553594668
15,3,300,20,0.51333180501726
15,3,300,25,0.5714376930084383
15,3,300,30,0.9900334465447835
15,3,300,35,0.7329178681053424
15,3,300,40,0.634832798381521
15,3,300,45,0.8652882985236696
15,3,300,50,0.8908584275305717
15,4,12,0,0.9484917378439521
15,4,12,5,0.7354622551258101
15,4,12,10,0.624628429222251
15,4,12,15,0.5414805517406422
15,4,12,20,0.5914963432177958
15,4,12,25,0.5818772665443708
15,4,12,30,0.9897332802379306
15,4,12,35,0.7566860677792231
15,4,12,40,0.6611428937488275
15,4,12,45,0.8630822222140615
15,4,12,50,0.8554124279955044
15,4,16,0,0.973739640874911
15,4,16,5,0.7303562826077417
15,4,16,10,0.5851988872203671
15,4,16,15,0.5091660942599228
15,4,16,20,0.5460796463266521
15,4,16,25,0.5352863235607899
15,4,16,30,0.9897387071143857
15,4,16,35,0.756907271097591
15,4,16,40,0.6494494227889909
15,4,16,45,0.8683554645412803
15,4,16,50,0.8493261919814299
15,4,20,0,0.9191503228100635
15,4,20,5,0.727599343485789
15,4,20,10,0.5584482267708637
15,4,20,15,0.49328862387710004
15,4,20,20,0.5211966513818913
15,4,20,25,0.5088651337336125
15,4,20,30,0.9897432010921695
15,4,20,35,0.7570904726639356
15,4,20,40,0.6421010742569631
15,4,20,45,0.8723874731416399
15,4,20,50,0.8453503621775105
15,4,24,0,0.8965637995676318
15,4,24,5,0.7334749123135764
15,4,24,10,0.540789680417584
15,4,24,15,0.4887531329739474
15,4,24,20,0.5118718429503402
15,4,24,25,0.5085939829789308
15,4,24,30,0.9897469429065218
15,4,24,35,0.7572430806599932
15,4,24,40,0.6371047448163025
15,4,24,45,0.8731666744585973
15,4,24,50,0.8453471115542259
15,4,28,0,0.8838234105956869
15,4,28,5,0.7386789714016739
15,4,28,10,0.5278461482326251
15,4,28,15,0.48610482914261677
15,4,28,20,0.5052100930943084
15,4,28,25,0.5085909517460294
15,4,28,30,0.9897500261085738
15,4,28,35,0.757368936284184
15,4,28,40,0.6335771660336236
15,4,28,45,0.8732695478841386
15,4,28,50,0.8453444592484218
15,4,32,0,0.877866396993429
15,4,32,5,0.7414986761264063
15,4,32,10,0.5203601681060066
15,4,32,15,0.4851827750489901
15,4,32,20,0.5028995156064985
15,4,32,25,0.5085888989250064
15,4,32,30,0.9897521430947804
15,4,32,35,0.7574555666438516
15,4,32,40,0.63140734811866
15,4,32,45,0.873089302946035
15,4,32,50,0.84534264661311
15,4,36,0,0.8736311285503747
15,4,36,5,0.7436808703776603
15,4,36,10,0.5218075380201712
15,4,36,15,0.48518061070608864
15,4,36,20,0.5028984663616654
15,4,36,25,0.5085873043300057
15,4,36,30,0.9897538059885117
15,4,36,35,0.7575238104896337
15,4,36,40,0.6298277981162392
15,4,36,45,0.8728200876884288
15,4,36,50,0.845341225335405
15,4,40,0,0.8727319649002627
15,4,40,5,0.7441611108016569
15,4,40,10,0.5221200067405174
15,4,40,15,0.4851790524755887
15,4,40,20,0.5028977110800426
15,4,40,25,0.5085861568998757
15,4,40,30,0.9897550165686361
15,4,40,35,0.757573751476383
15,4,40,40,0.6287379195412868
15,4,40,45,0.8725058372566201
15,4,40,50,0.8453401871415173
15,4,44,0,0.8727322997514045
15,4,44,5,0.744157696161766
15,4,44,10,0.5221194475810137
15,4,44,15,0.4851781184896302
15,4,44,20,0.5028972584240441
15,4,44,25,0.508585462857116
15,4,44,30,0.9897557612665802
15,4,44,35,0.7576048459609576
15,4,44,40,0.6280857447156798
15,4,44,45,0.8723194113339463
15,4,44,50,0.8453395384010496
15,4,48,0,0.8727325279599112
15,4,48,5,0.7441553694176204
15,4,48,10,0.5221190666016341
15,4,48,15,0.48517748204385136
15,4,48,20,0.5028969499928682
15,4,48,25,0.5085849828401964
15,4,48,30,0.9897562861723228
15,4,48,35,0.7576270962687276
15,4,48,40,0.6276309706845185
15,4,48,45,0.8721749989234185
15,4,48,50,0.8453390712443403
15,4,52,0,0.8727327675679643
15,4,52,5,0.7441529268143814
15,4,52,10,0.5221186666816668
15,4,52,15,0.48517681388613776
15,4,52,20,0.5028966262128656
15,4,52,25,0.5085844791046783
15,4,52,30,0.9897568391971276
15,4,52,35,0.7576505736999049
15,4,52,40,0.6271615411422314
15,4,52,45,0.872013136575462
15,4,52,50,0.8453385788705029
15,4,300,0,0.8727330745521651
15,4,300,5,0.744149797917629
15,4,300,10,0.5221181544420501
15,4,300,15,0.48517595796693347
