"(-90.15, -0.05, 1)","(-90.15, -0.05, 2)","(-90.15, -0.05, 3)","(-90.15, -0.05, 4)","(-90.15, -0.05, 5)","(-90.15, 0.05, 1)","(-90.15, 0.05, 2)","(-90.15, 0.05, 3)","(-90.15, 0.05, 4)","(-90.15, 0.05, 5)","(-90.15, 0.15, 1)","(-90.15, 0.15, 2)","(-90.15, 0.15, 3)","(-90.15, 0.15, 4)","(-90.15, 0.15, 5)","(-90.05, -0.05, 1)","(-90.05, -0.05, 2)","(-90.05, -0.05, 3)","(-90.05, -0.05, 4)","(-90.05, -0.05, 5)","(-90.05, 0.05, 1)","(-90.05, 0.05, 2)","(-90.05, 0.05, 3)","(-90.05, 0.05, 4)","(-90.05, 0.05, 5)","(-90.05, 0.15, 1)","(-90.05, 0.15, 2)","(-90.05, 0.15, 3)","(-90.05, 0.15, 4)","(-90.05, 0.15, 5)","(-89.95, -0.05, 1)","(-89.95, -0.05, 2)","(-89.95, -0.05, 3)","(-89.95, -0.05, 4)","(-89.95, -0.05, 5)","(-89.95, 0.05, 1)","(-89.95, 0.05, 2)","(-89.95, 0.05, 3)","(-89.95, 0.05, 4)","(-89.95, 0.05, 5)","(-89.95, 0.15, 1)","(-89.95, 0.15, 2)","(-89.95, 0.15, 3)","(-89.95, 0.15, 4)","(-89.95, 0.15, 5)"
0.22330812,0.0,0.0,0.0,0.0,0.010507498,0.0,0.0,0.0,0.0,0.004857398,0.0,0.0,0.0,0.0,0.052701216,0.0,0.0,0.0,0.0,0.0014923785,0.0,0.0,0.0,0.0,0.002114203,0.0,0.0,0.0,0.0,0.0018756071,0.0,0.002283906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024872978,0.0,0.0,0.0,0.0
0.0,0.22330812,0.0,0.0,0.0,0.0,0.010507498,0.0,0.0,0.0,0.0,0.004857398,0.0,0.0,0.0,0.0,0.052701216,0.0,0.0,0.0,0.0,0.0014923785,0.0,0.0,0.0,0.0,0.002114203,0.0,0.0,0.0,0.0,0.0018756071,0.0,0.002283906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024872978,0.0,0.0,0.0
0.0,0.0,0.22330812,0.0,0.0,0.0,0.0,0.010507498,0.0,0.0,0.0,0.0,0.004857398,0.0,0.0,0.0,0.0,0.052701216,0.0,0.0,0.0,0.0,0.0014923785,0.0,0.0,0.0,0.0,0.002114203,0.0,0.0,0.0,0.0,0.0018756071,0.0,0.002283906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024872978,0.0,0.0
0.0,0.0,0.0,0.22330812,0.0,0.0,0.0,0.0,0.010507498,0.0,0.0,0.0,0.0,0.004857398,0.0,0.0,0.0,0.0,0.052701216,0.0,0.0,0.0,0.0,0.0014923785,0.0,0.0,0.0,0.0,0.002114203,0.0,0.0,0.0,0.0,0.0018756071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024872978,0.0
0.0,0.0,0.0,0.0,0.22330812,0.00020838143,0.0,0.0,0.0,0.010507498,0.007599678,0.0,0.0,0.0,0.004857398,0.0,0.0,0.0,0.0,0.052701216,0.0,0.0,0.0,0.0,0.0014923785,0.0,0.0,0.0,0.0,0.002114203,0.0,0.0,0.0,0.0,0.0018756071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024872978
0.34151506,0.0,0.0,0.0,0.0,0.07245188,0.00020838143,0.0,0.0,0.0,0.003574523,0.007599678,0.0,0.0,0.0,0.07671818,0.0,0.0,0.0,0.0,0.020297978,0.0,0.0,0.0,0.0,0.0037632026,0.0,0.0,0.0,0.0,0.042064153,0.0,0.0,0.0,0.0,0.0447092,0.0,0.0,0.0,0.0,0.019224148,0.0,0.0,0.0,0.0
0.0,0.34151506,0.0,0.0,0.0,0.0,0.07245188,0.00020838143,0.0,0.0,0.0,0.003574523,0.007599678,0.0,0.0,0.0,0.07671818,0.0,0.0,0.0,0.0,0.020297978,0.0,0.0,0.0,0.0,0.0037632026,0.0,0.0,0.0,0.0,0.042064153,0.0,0.0,0.0,0.0,0.0447092,0.0,0.0,0.0,0.0,0.019224148,0.0,0.0,0.0
0.0,0.0,0.34151506,0.0,0.0,0.0,0.0,0.07245188,0.00020838143,0.0,0.0,0.0,0.003574523,0.007599678,0.0,0.0,0.0,0.07671818,0.0,0.0,0.0,0.0,0.020297978,0.0,0.0,0.0,0.0,0.0037632026,0.0,0.0,0.0,0.0,0.042064153,0.0,0.0,0.0,0.0,0.0447092,0.0,0.0,0.0,0.0,0.019224148,0.0,0.0
0.0,0.0,0.0,0.34151506,0.0,0.0,0.0,0.0,0.07245188,0.00020838143,0.0,0.0,0.0,0.003574523,0.007599678,0.0,0.0,0.0,0.07671818,0.0,0.0,0.0,0.0,0.020297978,0.0,0.0,0.0,0.0,0.0037632026,0.0,0.0,0.0,0.0,0.042064153,0.0,0.0,0.0,0.0,0.0447092,0.0,0.0,0.0,0.0,0.019224148,0.0
0.0,0.0,0.0,0.0,0.34151506,0.0,0.0,0.0,0.0,0.07245188,0.0,0.0,0.0,0.0,0.003574523,0.0,0.0,0.0,0.0,0.07671818,0.0,0.0,0.0,0.0,0.020297978,0.0,0.0,0.0,0.0,0.0037632026,0.0,0.0,0.0,0.0,0.042064153,0.0,0.0,0.0,0.0,0.0447092,0.0,0.0,0.0,0.0,0.019224148
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
